filename,tokens,ner_tags
Invoice_2024-06-24_11-25-48_50.pdf,45,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,400005,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,specsworldopticians@gmail.com,B-VENDOR_EMAIL
Invoice_2024-06-24_11-25-48_50.pdf,9900232338,B-INVOICE_NUMBER
Invoice_2024-06-24_11-25-48_50.pdf,66,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,9127358171,B-INVOICE_NUMBER
Invoice_2024-06-24_11-25-48_50.pdf,shrutishah@gmail.com,B-VENDOR_EMAIL
Invoice_2024-06-24_11-25-48_50.pdf,9008,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,2,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,9007,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,9004,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,2,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,842,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,01-05-2020,B-INVOICE_DATE
Invoice_2024-06-24_11-25-48_50.pdf,29AADCS3456G1ZR,B-GSTIN
Invoice_2024-06-24_11-25-48_50.pdf,State:,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-48_50.pdf,State:,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-48_50.pdf,Amount,B-AMOUNT
Invoice_2024-06-24_11-25-48_50.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,2,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,30,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,stated,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-48_50.pdf,3,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,15,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,4,B-QUANTITY
Invoice_2024-06-24_11-25-48_50.pdf,stated,B-VENDOR_ADDRESS
002670-Rahul-Bhardwaj.pdf,20,B-QUANTITY
002670-Rahul-Bhardwaj.pdf,Road,B-VENDOR_ADDRESS
002670-Rahul-Bhardwaj.pdf,560001,B-QUANTITY
002670-Rahul-Bhardwaj.pdf,002670,B-QUANTITY
002670-Rahul-Bhardwaj.pdf,10/06/2023,B-INVOICE_DATE
002670-Rahul-Bhardwaj.pdf,12,B-QUANTITY
002670-Rahul-Bhardwaj.pdf,2440,B-QUANTITY
002670-Rahul-Bhardwaj.pdf,Amount,B-AMOUNT
002670-Rahul-Bhardwaj.pdf,2,B-QUANTITY
002670-Rahul-Bhardwaj.pdf,3,B-QUANTITY
002670-Rahul-Bhardwaj.pdf,Subtotal,B-SUBTOTAL
OpticalInvoice_2024-07-18_18-29-51_56.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,Estate,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-51_56.pdf,27AJHCU1234L1ZA,B-GSTIN
OpticalInvoice_2024-07-18_18-29-51_56.pdf,08-04-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-51_56.pdf,06-04-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-51_56.pdf,08-04-2023,I-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-51_56.pdf,78,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-51_56.pdf,78,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-51_56.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-51_56.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-51_56.pdf,1,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,8636,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,18,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,2,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,8515,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,13,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,56,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,56,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,12,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-51_56.pdf,30,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,Estate,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-00_5.pdf,27AJHCU1234L1ZA,B-GSTIN
OpticalInvoice_2024-07-18_18-29-00_5.pdf,23-06-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-00_5.pdf,21-06-2023,I-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-00_5.pdf,23-06-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-00_5.pdf,67,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-00_5.pdf,67,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-00_5.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-00_5.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-00_5.pdf,24VOHEE8147H1Z1,B-GSTIN
OpticalInvoice_2024-07-18_18-29-00_5.pdf,24VOHEE8147H1Z1,B-GSTIN
OpticalInvoice_2024-07-18_18-29-00_5.pdf,1,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,8446,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,14,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,2,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,7875,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,15,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,8559,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,60,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,60,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,2293920,B-INVOICE_NUMBER
OpticalInvoice_2024-07-18_18-29-00_5.pdf,20,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-00_5.pdf,30,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,Estate,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-55_60.pdf,27AJHCU1234L1ZA,B-GSTIN
OpticalInvoice_2024-07-18_18-29-55_60.pdf,06-11-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-55_60.pdf,04-11-2023,I-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-55_60.pdf,06-11-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-55_60.pdf,12,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-55_60.pdf,12,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-55_60.pdf,380015,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-55_60.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-55_60.pdf,24XCJGB3192B1Z5,B-GSTIN
OpticalInvoice_2024-07-18_18-29-55_60.pdf,24XCJGB3192B1Z5,B-GSTIN
OpticalInvoice_2024-07-18_18-29-55_60.pdf,1,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,8912,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,13,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,2,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,8802,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,12,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,8377,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,309810,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,10,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,10,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,20,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-55_60.pdf,30,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,45,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,400005,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,specsworldopticians@gmail.com,B-VENDOR_EMAIL
Invoice_2024-06-24_11-26-19_81.pdf,9900232338,B-INVOICE_NUMBER
Invoice_2024-06-24_11-26-19_81.pdf,49,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,9736973822,B-INVOICE_NUMBER
Invoice_2024-06-24_11-26-19_81.pdf,preetimalhotra@gmail.com,B-VENDOR_EMAIL
Invoice_2024-06-24_11-26-19_81.pdf,776,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,22-07-2020,B-INVOICE_DATE
Invoice_2024-06-24_11-26-19_81.pdf,29AADCS3456G1ZR,B-GSTIN
Invoice_2024-06-24_11-26-19_81.pdf,State:,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-26-19_81.pdf,24QOROE7073B1Z2,B-GSTIN
Invoice_2024-06-24_11-26-19_81.pdf,State:,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-26-19_81.pdf,Amount,B-AMOUNT
Invoice_2024-06-24_11-26-19_81.pdf,9004,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,9004,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,9006,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,2,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,2,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,30,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,stated,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-26-19_81.pdf,3,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,15,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,4,B-QUANTITY
Invoice_2024-06-24_11-26-19_81.pdf,stated,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-27-46_59.pdf,Estate,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-27-46_59.pdf,27AAACR7147G1ZQ,B-GSTIN
ApexInvoice_2024-07-18_18-27-46_59.pdf,56,B-QUANTITY
ApexInvoice_2024-07-18_18-27-46_59.pdf,Road,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-27-46_59.pdf,56,B-QUANTITY
ApexInvoice_2024-07-18_18-27-46_59.pdf,Road,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-27-46_59.pdf,State,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-27-46_59.pdf,14408,B-QUANTITY
ApexInvoice_2024-07-18_18-27-46_59.pdf,24SWGJJ7873C1Z8,B-GSTIN
ApexInvoice_2024-07-18_18-27-46_59.pdf,9378,B-QUANTITY
ApexInvoice_2024-07-18_18-27-46_59.pdf,29-04-2023,B-INVOICE_DATE
ApexInvoice_2024-07-18_18-27-46_59.pdf,7634,B-QUANTITY
ApexInvoice_2024-07-18_18-27-46_59.pdf,60,B-QUANTITY
ApexInvoice_2024-07-18_18-27-46_59.pdf,1800,B-QUANTITY
ApexInvoice_2024-07-18_18-27-46_59.pdf,1,B-QUANTITY
ApexInvoice_2024-07-18_18-27-46_59.pdf,2,B-QUANTITY
ApexInvoice_2024-07-18_18-27-46_59.pdf,30,B-QUANTITY
ApexInvoice_2024-07-18_18-27-50_63.pdf,Estate,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-27-50_63.pdf,Road,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-27-50_63.pdf,31-03-2023,B-INVOICE_DATE
ApexInvoice_2024-07-18_18-27-50_63.pdf,1,B-QUANTITY
ApexInvoice_2024-07-18_18-27-50_63.pdf,2,B-QUANTITY
ApexInvoice_2024-07-18_18-27-50_63.pdf,30,B-QUANTITY
141494-Sneha-Kapoor.pdf,4,B-QUANTITY
141494-Sneha-Kapoor.pdf,Road,B-VENDOR_ADDRESS
141494-Sneha-Kapoor.pdf,Road,B-VENDOR_ADDRESS
141494-Sneha-Kapoor.pdf,560001,B-QUANTITY
141494-Sneha-Kapoor.pdf,141494,B-QUANTITY
141494-Sneha-Kapoor.pdf,04/10/2023,B-INVOICE_DATE
141494-Sneha-Kapoor.pdf,8,B-QUANTITY
141494-Sneha-Kapoor.pdf,7323,B-QUANTITY
141494-Sneha-Kapoor.pdf,AMOUNT,B-AMOUNT
141494-Sneha-Kapoor.pdf,2,B-QUANTITY
141494-Sneha-Kapoor.pdf,2,B-QUANTITY
141494-Sneha-Kapoor.pdf,Subtotal,B-SUBTOTAL
Invoice_2024-06-24_11-25-02_4.pdf,45,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,400005,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,specsworldopticians@gmail.com,B-VENDOR_EMAIL
Invoice_2024-06-24_11-25-02_4.pdf,9900232338,B-INVOICE_NUMBER
Invoice_2024-06-24_11-25-02_4.pdf,18,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,9307313912,B-INVOICE_NUMBER
Invoice_2024-06-24_11-25-02_4.pdf,ritukapoor@gmail.com,B-VENDOR_EMAIL
Invoice_2024-06-24_11-25-02_4.pdf,9006,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,9005,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,9007,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,398,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,27-10-2020,B-INVOICE_DATE
Invoice_2024-06-24_11-25-02_4.pdf,29AADCS3456G1ZR,B-GSTIN
Invoice_2024-06-24_11-25-02_4.pdf,State:,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-02_4.pdf,24EDMEL2356S1Z2,B-GSTIN
Invoice_2024-06-24_11-25-02_4.pdf,State:,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-02_4.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,2,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,30,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,stated,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-02_4.pdf,3,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,15,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,4,B-QUANTITY
Invoice_2024-06-24_11-25-02_4.pdf,stated,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-02_4.pdf,Amount,B-AMOUNT
Invoice_2024-06-24_11-25-45_47.pdf,45,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,400005,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,specsworldopticians@gmail.com,B-VENDOR_EMAIL
Invoice_2024-06-24_11-25-45_47.pdf,9900232338,B-INVOICE_NUMBER
Invoice_2024-06-24_11-25-45_47.pdf,48,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,9506638599,B-INVOICE_NUMBER
Invoice_2024-06-24_11-25-45_47.pdf,arunkapoor@gmail.com,B-VENDOR_EMAIL
Invoice_2024-06-24_11-25-45_47.pdf,9007,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,3,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,9008,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,2,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,9004,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,2,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,899,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,30-01-2020,B-INVOICE_DATE
Invoice_2024-06-24_11-25-45_47.pdf,29AADCS3456G1ZR,B-GSTIN
Invoice_2024-06-24_11-25-45_47.pdf,State:,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-45_47.pdf,State:,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-45_47.pdf,1,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,2,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,30,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,stated,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-45_47.pdf,3,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,15,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,4,B-QUANTITY
Invoice_2024-06-24_11-25-45_47.pdf,stated,B-VENDOR_ADDRESS
Invoice_2024-06-24_11-25-45_47.pdf,Amount,B-AMOUNT
OpticalInvoice_2024-07-18_18-29-58_63.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,Estate,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-58_63.pdf,27AJHCU1234L1ZA,B-GSTIN
OpticalInvoice_2024-07-18_18-29-58_63.pdf,07-01-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-58_63.pdf,05-01-2023,I-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-58_63.pdf,07-01-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-58_63.pdf,56,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-58_63.pdf,56,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-58_63.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-58_63.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-58_63.pdf,24FEKEJ6872X1Z2,B-GSTIN
OpticalInvoice_2024-07-18_18-29-58_63.pdf,2,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,7365,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,16,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,7244,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,96,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,96,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,92,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-58_63.pdf,30,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,Estate,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-30-40_105.pdf,27AJHCU1234L1ZA,B-GSTIN
OpticalInvoice_2024-07-18_18-30-40_105.pdf,11-10-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-30-40_105.pdf,09-10-2023,I-INVOICE_DATE
OpticalInvoice_2024-07-18_18-30-40_105.pdf,11-10-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-30-40_105.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-30-40_105.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,Road,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-30-40_105.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-30-40_105.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-30-40_105.pdf,1,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,7046,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,16,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,2,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,8342,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,18,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,7128,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,40,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,40,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,80,B-QUANTITY
OpticalInvoice_2024-07-18_18-30-40_105.pdf,30,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,Estate,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-02_7.pdf,27AJHCU1234L1ZA,B-GSTIN
OpticalInvoice_2024-07-18_18-29-02_7.pdf,03-04-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-02_7.pdf,01-04-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-02_7.pdf,03-04-2023,I-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-02_7.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,Infocity,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-02_7.pdf,Road,I-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-02_7.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,Infocity,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-02_7.pdf,Road,I-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-02_7.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-02_7.pdf,State:,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-02_7.pdf,24USCON2516S1Z9,B-GSTIN
OpticalInvoice_2024-07-18_18-29-02_7.pdf,24USCON2516S1Z9,B-GSTIN
OpticalInvoice_2024-07-18_18-29-02_7.pdf,1,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,7354,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,13,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,2,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,2939,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,17,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,8288,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,58,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,58,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,16,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-02_7.pdf,30,B-QUANTITY
ApexInvoice_2024-07-18_18-28-19_92.pdf,Estate,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-28-19_92.pdf,27AAACR7147G1ZQ,B-GSTIN
ApexInvoice_2024-07-18_18-28-19_92.pdf,91,B-QUANTITY
ApexInvoice_2024-07-18_18-28-19_92.pdf,Estate,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-28-19_92.pdf,91,B-QUANTITY
ApexInvoice_2024-07-18_18-28-19_92.pdf,Estate,B-VENDOR_ADDRESS
ApexInvoice_2024-07-18_18-28-19_92.pdf,24RDNMS1128K1Z6,B-GSTIN
ApexInvoice_2024-07-18_18-28-19_92.pdf,28-08-2023,B-INVOICE_DATE
ApexInvoice_2024-07-18_18-28-19_92.pdf,1,B-QUANTITY
ApexInvoice_2024-07-18_18-28-19_92.pdf,2,B-QUANTITY
ApexInvoice_2024-07-18_18-28-19_92.pdf,30,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-14_19.pdf,45,B-QUANTITY
OpticalInvoice_2024-07-18_18-29-14_19.pdf,Estate,B-VENDOR_ADDRESS
OpticalInvoice_2024-07-18_18-29-14_19.pdf,27AJHCU1234L1ZA,B-GSTIN
OpticalInvoice_2024-07-18_18-29-14_19.pdf,04-06-2023,B-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-14_19.pdf,02-06-2023,I-INVOICE_DATE
OpticalInvoice_2024-07-18_18-29-14_19.pdf,04-06-2023,B-INVOICE_DATE
